date,channel,spend
2019-08-01,Media,91.8
2019-08-01,Media,44.42
2019-08-01,Media,41.98
2019-08-01,Facebook,7.02
2019-08-01,Facebook,1.09
2019-08-01,Facebook,3.57
2019-08-01,Facebook,1
2019-08-01,Facebook,19.17
2019-08-01,Facebook,0.29
2019-08-01,Facebook,2.23
2019-08-01,Facebook,0.17
2019-08-01,Facebook,8.13
2019-08-01,Facebook,0.11
2019-08-01,Facebook,1.39
2019-08-01,Facebook,0.31
2019-08-01,Facebook,7.87
2019-08-01,Facebook,2.11
2019-08-01,Facebook,4.72
2019-08-01,Facebook,2.83
2019-08-01,Facebook,0.67
2019-08-01,Facebook,0.21
2019-08-01,Facebook,0.02
2019-08-01,Facebook,0.08
2019-08-01,Facebook,7.93
2019-08-01,Facebook,0.69
2019-08-01,Facebook,6.58
2019-08-01,Facebook,2.59
2019-08-01,Facebook,0.84
2019-08-01,Facebook,0.61
2019-08-01,Facebook,8.97
2019-08-01,Facebook,4.89
2019-08-01,Facebook,2.53
2019-08-01,Facebook,0.69
2019-08-01,Facebook,0.4
2019-08-01,Facebook,1.28
2019-08-01,Facebook,40.59
2019-08-01,Facebook,0.53
2019-08-01,Facebook,0.03
2019-08-01,Facebook,2.82
2019-08-01,Facebook,21.39
2019-08-01,Facebook,4.78
2019-08-01,Facebook,3.71
2019-08-01,Facebook,0.85
2019-08-01,Facebook,0.19
2019-08-01,Facebook,0.89
2019-08-01,Facebook,2.28
2019-08-01,Facebook,2.44
2019-08-01,Facebook,1.1
2019-08-01,Facebook,3.72
2019-08-01,Facebook,12.16
2019-08-01,Instagram,0.08
2019-08-01,Instagram,20.15
2019-08-01,Instagram,0.52
2019-08-01,Instagram,3.61
2019-08-01,Instagram,21.5
2019-08-01,Instagram,4.91
2019-08-01,Instagram,1.03
2019-08-01,Instagram,12.83
2019-08-01,Instagram,0.2
2019-08-01,Instagram,3.11
2019-08-01,Instagram,6.14
2019-08-01,Instagram,5.46
2019-08-01,Instagram,0.81
2019-08-01,Instagram,8.41
2019-08-01,Instagram,4.51
2019-08-01,Instagram,10.61
2019-08-01,Instagram,0.76
2019-08-01,Instagram,3.08
2019-08-01,Instagram,6.87
2019-08-01,Instagram,4.77
2019-08-01,Instagram,17.01
2019-08-01,Instagram,0.63
2019-08-01,Instagram,13.66
2019-08-01,Instagram,8.44
2019-08-01,Instagram,0.98
2019-08-01,Instagram,0.07
2019-08-01,Instagram,49.51
2019-08-01,Instagram,79.34
2019-08-01,Instagram,122.8
2019-08-01,Instagram,57.67
2019-08-01,Instagram,127.03
2019-08-01,Media,32.09
2019-08-01,Facebook,4.45
2019-08-01,Facebook,0.87
2019-08-01,Facebook,0.49
2019-08-01,Facebook,0.35
2019-08-01,Facebook,0.11
2019-08-01,Facebook,0.04
2019-08-01,Facebook,0.01
2019-08-01,Facebook,1.1
2019-08-01,Facebook,0.29
2019-08-01,Facebook,0.01
2019-08-01,Facebook,0.03
2019-08-01,Facebook,0.43
2019-08-01,Facebook,0.42
2019-08-01,Facebook,0.77
2019-08-01,Facebook,7.44
2019-08-01,Facebook,4.24
2019-08-01,Facebook,30.46
2019-08-01,Facebook,5.8
2019-08-01,Facebook,0.01
2019-08-01,Facebook,3.47
2019-08-01,Instagram,4.09
2019-08-01,Instagram,10.62
2019-08-01,Instagram,0.93
2019-08-01,Instagram,4.57
2019-08-01,Facebook,4.16
2019-08-01,Facebook,0.4
2019-08-01,Facebook,0.15
2019-08-01,Facebook,0.02
2019-08-01,Facebook,0.41
2019-08-01,Facebook,14.22
2019-08-01,Facebook,0
2019-08-01,Facebook,0.02
2019-08-01,Instagram,6.35
2019-08-01,Instagram,6.25
2019-08-01,Instagram,7.36
2019-08-01,Instagram,1.3
2019-08-01,Instagram,3.47
2019-08-01,Instagram,3.71
2019-08-01,Instagram,9.74
2019-08-01,Instagram,2.26
2019-08-01,Instagram,0.57
2019-08-01,Instagram,0.5
2019-08-01,Instagram,11.67
2019-08-01,Instagram,2
2019-08-01,Instagram,2.07
2019-08-01,Instagram,15.17
2019-08-01,Instagram,0.93
2019-08-01,Instagram,13.27
2019-08-01,Instagram,1.86
2019-08-01,Instagram,3.44
2019-08-01,Instagram,1.38
2019-08-01,Instagram,9.18
2019-08-01,Instagram,0.06
2019-08-01,Instagram,0
2019-08-01,Instagram,6.9
2019-08-01,Instagram,2.01
2019-08-01,Instagram,14.69
2019-08-01,Instagram,4.42
2019-08-01,Instagram,0.38
2019-08-01,Instagram,0.14
2019-08-01,Facebook,12.73
2019-08-01,Facebook,0.01
2019-08-01,Facebook,1.58
2019-08-01,Facebook,1.43
2019-08-01,Facebook,3.55
2019-08-01,Instagram,0.9
2019-08-01,Instagram,8.03
2019-08-01,Instagram,11.01
2019-08-01,Media,32.89
2019-08-03,Media,30.72
2019-08-02,Media,92.92
2019-08-04,Media,41
2019-08-02,Media,43.96
2019-08-03,Media,44.35
2019-08-03,Media,42.74
2019-08-02,Media,42.48
2019-08-04,Media,38.67
2019-08-03,Facebook,11.17
2019-08-04,Facebook,11.74
2019-08-02,Facebook,11.97
2019-08-03,Facebook,2.22
2019-08-02,Facebook,1.49
2019-08-04,Facebook,2.41
2019-08-02,Facebook,4.91
2019-08-03,Facebook,4.3
2019-08-04,Facebook,4.57
2019-08-04,Facebook,1.43
2019-08-03,Facebook,1.95
2019-08-02,Facebook,1.5
2019-08-03,Facebook,6.02
2019-08-02,Facebook,4.29
2019-08-04,Facebook,5.87
2019-08-03,Facebook,0.19
2019-08-04,Facebook,0.19
2019-08-02,Facebook,0.19
2019-08-03,Facebook,1.78
2019-08-04,Facebook,3.57
2019-08-02,Facebook,0.79
2019-08-02,Facebook,0.68
2019-08-03,Facebook,0.24
2019-08-04,Facebook,0.06
2019-08-02,Facebook,11.46
2019-08-03,Facebook,10.82
2019-08-04,Facebook,10.31
2019-08-03,Facebook,0.64
2019-08-02,Facebook,2.47
